cpu_type	rank	name	nb_id	nb_url	codename	series	l2_cache_mb	l3_cache_mb	tdp_watt	tdp_turbo_watt	base_mhz	boost_mhz	cores	threads	process_nm	architecture	is_64bit	graphics_card	perf_rating	cinebench_r10_32bit_single	cinebench_r10_32bit_multi	cinebench_r15_cpu_single_64bit	cinebench_r15_cpu_multi_64bit	cinebench_r20_single	cinebench_r20	cinebench_r23_single_core	cinebench_r23_multi_core	cinebench_2024_cpu_single_core	cinebench_2024_cpu_multi_core	geekbench_4_4_64_bit_single_core_score	geekbench_4_4_64_bit_multi_core_score	geekbench_5_5_single_core	geekbench_5_5_multi_core	geekbench_6_7_single_core	geekbench_6_7_multi_core	3dmark06_cpu	x264_pass_1	x264_pass_2	x265	truecrypt_aes	truecrypt_twofish	truecrypt_serpent	blender	blender_v3_3_classroom_cpu	7_zip_single	7_zip	superpi_1m	superpi_32m	wprime_32	wprime_1024	webxprt_3	webxprt_4_overall	crossmark_overall	cinebench_2026_cpu_single_thread	cinebench_2026_cpu_multi	octane_v2_total_score	jetstream_2	jetstream_2_2_2_total	speedometer_2_0	sunspider_1_0_total_score	geekbench_2	geekbench_3_32_bit_single_core_score	geekbench_3_32_bit_multi_core_score	passmark_performancetest_mobile_v1_cpu_tests
smartphone	395	Apple A19	1127048	https://www.notebookcheck.net/Apple-A19-Processor-Benchmarks-and-Specs.1127048.0.html		Apple A-Series	12.0	12.0			2600	4260	6	6	3	ARM	True	A19 GPU	66.886													2635	7482	3732	9438																380	290				108876	337.88	450.18	581					
laptop	396	Intel Core i7-1265U	589621	https://www.notebookcheck.net/Intel-Core-i7-1265U-Processor-Benchmarks-and-Specs.589621.0.html	Alder Lake-U	Alder Lake-M	9.5	12.0	15		1300	4800	10	12	10	x86	True	Iris Xe G7 96EUs	55.85	8549	38152	240	1344.5	642	3214.5	1679.5	8225			7515	33057	1739.5	8127	2376	7304	9433.5	265.5	80.95	9.24	9.7	1.6	0.9	423.5	834	5285.5	34399	7.98	429.84	5.24	217.43	279.5	242.5	1593.5			73251	231.57		281					
laptop	397	Intel Core i5-1335U	678469	https://www.notebookcheck.net/Intel-Core-i5-1335U-Processor-Benchmarks-and-Specs.678469.0.html	Raptor Lake-U	Raptor Lake-U	9.5	12.0	15		900	4600	10	12	10	x86	True	Iris Xe G7 80EUs	50.85	9351	40266	238	1464	643	3343	1684.5	8889.5			7007	30532	1669	7856	2260	8597	12286	256.95	81.84	9.2	9.5	1.7	0.87	409	804	5171	34186	7.37	423.06	8.03	507.82	260	231	1450			84497	260.35		306	64.5				
laptop	398	AMD Ryzen 7 170	1148247	https://www.notebookcheck.net/AMD-Ryzen-7-170-Processor-Benchmarks-and-Specs.1148247.0.html	Rembrandt	Rembrandt (Zen 3+)	4.0	16.0	45		3200	4750	8	16	6	x86	True	Radeon 680M																																														
laptop	399	Intel Core Ultra 7 155U	783345	https://www.notebookcheck.net/Intel-Core-Ultra-7-155U-Processor-Benchmarks-and-Specs.783345.0.html	Meteor Lake-U	Meteor Lake-U	12.0		15		3800	4800	12	14	7	x86	True	Graphics 4-Core iGPU (Arrow Lake)	51.95			238.5	1585	640.5	3721	1666	9674.5	98.5	549			1690	8339.5	2312	9278				10.9				343.5	626	4868	38494.5					267	246.5	1483											
laptop	400	Intel Core Ultra 5 332	1196963	https://www.notebookcheck.net/Intel-Core-Ultra-5-332-Processor-Benchmarks-and-Specs.1196963.0.html	Panther Lake	Panther Lake	12.0		25	55	1900	4400	6	6	2	x86	True	Intel Graphics 2 Xe3 PTL	43.3															2549	8193																													
laptop	401	Intel Core Ultra 5 322	1196964	https://www.notebookcheck.net/Intel-Core-Ultra-5-322-Processor-Benchmarks-and-Specs.1196964.0.html	Panther Lake	Panther Lake	12.0		25	55	1900	4400	6	6	2	x86	True	Intel Graphics 2 Xe3 PTL	52.25	10030	35608	271	1181	676	3061	1782	7862	111	445			1877	6615	2487	8045	11533	289.7	73	9.67	5.4	1	0.47	437	715	5323	24834	8	420.7			271	264	1492											
laptop	402	Qualcomm Snapdragon X Plus X1P-42-100	838787	https://www.notebookcheck.net/Qualcomm-Snapdragon-X-Plus-X1P-42-100-Processor-Benchmarks-and-Specs.838787.0.html	Oryon	Snapdragon X	12.0	6.0	30				8	8	4	ARM	True	Adreno X1-45 1.7 TFLOPS	40.85			210.5	1479	420.5	2969.5	1116	7779	108	704			1576	6244	2404	11392				5.3				455	817.5	4636	31611.5					405.5	280	1165			79641	295.8	323.4	461					
laptop	403	Intel Core i9-10885H	459133	https://www.notebookcheck.net/Intel-Core-i9-10885H-Processor-Benchmarks-and-Specs.459133.0.html	Comet Lake-H	Comet Lake	2.0	16.0	45		2400	5300	8	16	14	x86	True	UHD Graphics 630	31.357			211	1517	489	3639	1289.5	9438			5675.5	29009	1317	6914	1736	6962	12101	217.8	80.5	11.3	9.9	1.8	1	302		5589	41823	7.33	433.9	3.86	131.2	234					58398	167.6		146					
laptop	404	AMD Ryzen 5 6600HS	591456	https://www.notebookcheck.net/AMD-Ryzen-5-6600HS-Processor-Benchmarks-and-Specs.591456.0.html	Rembrandt-HS (Zen 3+)	Rembrandt (Zen 3+)	3.0	16.0	35		3300	4500	6	12	6	x86	True	Radeon 660M	6929.0	6157	34414	235	1656	577	3935	1465	9131			6029	28928	1493	7195	1914	7718		236.5	93.4	12	7.7	1.3	0.84	328		5318	44476	8	710.7			234									106.9				
laptop	405	AMD Ryzen 9 6980HX	589850	https://www.notebookcheck.net/AMD-Ryzen-9-6980HX-Processor-Benchmarks-and-Specs.589850.0.html	Rembrandt-H (Zen 3+)	Rembrandt (Zen 3+)	4.0	16.0	45		3300	5000	8	16	6	x86	True	Radeon 680M																																														
smartphone	406	Xiaomi Xring O1	1041480	https://www.notebookcheck.net/Xiaomi-Xring-O1-Processor-Benchmarks-and-Specs.1041480.0.html	Cortex-X925, A725, A520	Xring	0.0107421875				1800	3900	10	10	3	ARM	True	Immortalis-G925 MC16	75.55											9243.5	27799.5	1876	7083	2718	9097																	196	2155			81076		256						
smartphone	407	Mediatek Dimensity 9400+	1015980	https://www.notebookcheck.net/Mediatek-Dimensity-9400-Processor-Benchmarks-and-Specs.1015980.0.html	Cortex-X925, X4, A720	Dimensity 9000	3.5	12.0			2400	3730	8	8	3	ARM	True	Immortalis-G925 MC12	22.871											9867	28034	1869.5	7149	2652	8040																	114				36745	129.82	134.56	157					
smartphone	408	Mediatek Dimensity 9500s	1314460	https://www.notebookcheck.net/Mediatek-Dimensity-9500s-Processor-Benchmarks-and-Specs.1314460.0.html	Cortex-X925, X4, A720	Dimensity 9000	3.5	12.0			2400	3730	8	8	3	ARM	True	Immortalis-G925 MC11	41.75											10118	27575	1896	6700	2673	8419																	162	1192			54309	187.39	215.55	282					
